vsearch v2.22.1_linux_x86_64, 503.7GB RAM, 128 cores
vsearch -fastq_stats trimmed/trimmed.fastq -log stats/stats_results.txt
Started  Wed Apr 16 12:49:55 2025

Read length distribution
      L           N      Pct   AccPct
-------  ----------  -------  -------
>=  565           1     0.0%     0.0%
    563           3     0.0%     0.0%
    562           8     0.0%     0.0%
    561          11     0.0%     0.0%
    560          32     0.0%     0.0%
    559          30     0.0%     0.0%
    558          35     0.0%     0.0%
    557          27     0.0%     0.0%
    556          32     0.0%     0.0%
    555          31     0.0%     0.0%
    554          34     0.0%     0.0%
    553          34     0.0%     0.0%
    552          23     0.0%     0.0%
    551          26     0.0%     0.0%
    550          40     0.0%     0.0%
    549          51     0.0%     0.0%
    548          37     0.0%     0.0%
    547          43     0.0%     0.0%
    546          42     0.0%     0.0%
    545          40     0.0%     0.0%
    544          43     0.0%     0.0%
    543          42     0.0%     0.0%
    542          43     0.0%     0.0%
    541          39     0.0%     0.0%
    540          37     0.0%     0.0%
    539          27     0.0%     0.0%
    538          17     0.0%     0.0%
    537          24     0.0%     0.0%
    536          24     0.0%     0.0%
    535          13     0.0%     0.0%
    534          19     0.0%     0.0%
    533          26     0.0%     0.0%
    532          27     0.0%     0.0%
    531          32     0.0%     0.0%
    530          31     0.0%     0.0%
    529          26     0.0%     0.0%
    528          22     0.0%     0.0%
    527          14     0.0%     0.0%
    526          22     0.0%     0.0%
    525          18     0.0%     0.0%
    524          18     0.0%     0.0%
    523          46     0.0%     0.0%
    522          39     0.0%     0.0%
    521          38     0.0%     0.0%
    520          46     0.0%     0.0%
    519          44     0.0%     0.0%
    518          38     0.0%     0.0%
    517          25     0.0%     0.0%
    516          24     0.0%     0.0%
    515          28     0.0%     0.0%
    514          45     0.0%     0.0%
    513          60     0.0%     0.0%
    512          73     0.0%     0.0%
    511          77     0.0%     0.0%
    510         304     0.0%     0.0%
    509         331     0.0%     0.0%
    508         380     0.0%     0.0%
    507         385     0.0%     0.0%
    506         403     0.0%     0.0%
    505         447     0.0%     0.0%
    504         250     0.0%     0.0%
