Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
Arkansas,1A,1,0,0,7/19/2024,0,0,0
Arkansas,1B,2,0,0,7/19/2024,0,0,0
Arkansas,1C,3,0,0,7/19/2024,0,0,0
Arkansas,1D,4,0,0,7/19/2024,0,0,0
Arkansas,2A,5,0,0,7/19/2024,0,0,0
Arkansas,2B,6,0,0,7/19/2024,0,0,0
Arkansas,2C,7,0,0,7/19/2024,0,0,0
Arkansas,2D,8,0,0,7/19/2024,0,0,0
Arkansas,3A,9,0,0,7/19/2024,0,0,0
Arkansas,3B,10,0,0,7/19/2024,0,0,0
Arkansas,3C,11,0,0,7/19/2024,0,0,0
Arkansas,3D,12,0,0,7/19/2024,0,0,0
Arkansas,1A,1,19,456,8/7/2024,0,0,0
Arkansas,1B,2,19,456,8/7/2024,0,0,0
Arkansas,1C,3,19,456,8/7/2024,0,0,0
Arkansas,1D,4,19,456,8/7/2024,0,0,0
Arkansas,2A,5,19,456,8/7/2024,0,0,0
Arkansas,2B,6,19,456,8/7/2024,0,0,0
Arkansas,2C,7,19,456,8/7/2024,0,0,0
Arkansas,2D,8,19,456,8/7/2024,0,0,0
Arkansas,3A,9,19,456,8/7/2024,0,0,0
Arkansas,3B,10,19,456,8/7/2024,0,0,0
Arkansas,3C,11,19,456,8/7/2024,0,0,0
Arkansas,3D,12,19,456,8/7/2024,0,0,0
