Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
EV_Smith,1A,1,0,0,5/21/2024,0,0,0
EV_Smith,1B,2,0,0,5/21/2024,0,0,0
EV_Smith,1C,3,0,0,5/21/2024,0,0,0
EV_Smith,1D,4,0,0,5/21/2024,0,0,0
EV_Smith,2A,5,0,0,5/21/2024,0,0,0
EV_Smith,2B,6,0,0,5/21/2024,0,0,0
EV_Smith,2C,7,0,0,5/21/2024,0,0,0
EV_Smith,2D,8,0,0,5/21/2024,0,0,0
EV_Smith,3A,9,0,0,5/21/2024,0,0,0
EV_Smith,3B,10,0,0,5/21/2024,0,0,0
EV_Smith,3C,11,0,0,5/21/2024,0,0,0
EV_Smith,3D,12,0,0,5/21/2024,0,0,0
EV_Smith,1A,1,2,48,5/23/2024,0,0,0
EV_Smith,1B,2,2,48,5/23/2024,0,0,0
EV_Smith,1C,3,2,48,5/23/2024,0,0,0
EV_Smith,1D,4,2,48,5/23/2024,1,0,0
EV_Smith,2A,5,2,48,5/23/2024,1,0,0
EV_Smith,2B,6,2,48,5/23/2024,0,0,0
EV_Smith,2C,7,2,48,5/23/2024,0,0,0
EV_Smith,2D,8,2,48,5/23/2024,1,0,0
EV_Smith,3A,9,2,48,5/23/2024,1,0,0
EV_Smith,3B,10,2,48,5/23/2024,1,0,0
EV_Smith,3C,11,2,48,5/23/2024,1,0,0
EV_Smith,3D,12,2,48,5/23/2024,0,0,0
EV_Smith,1A,1,3,72,5/24/2024,1,0,0
EV_Smith,1B,2,3,72,5/24/2024,0,0,0
EV_Smith,1C,3,3,72,5/24/2024,0,0,0
EV_Smith,1D,4,3,72,5/24/2024,1,0,0
EV_Smith,2A,5,3,72,5/24/2024,1,0,0
EV_Smith,2B,6,3,72,5/24/2024,1,0,0
EV_Smith,2C,7,3,72,5/24/2024,0,0,0
EV_Smith,2D,8,3,72,5/24/2024,1,0,0
EV_Smith,3A,9,3,72,5/24/2024,1,0,0
EV_Smith,3B,10,3,72,5/24/2024,1,0,0
EV_Smith,3C,11,3,72,5/24/2024,1,0,0
EV_Smith,3D,12,3,72,5/24/2024,0,0,0
EV_Smith,1A,1,14,336,6/4/2024,1,0,0
EV_Smith,1B,2,14,336,6/4/2024,0,0,0
EV_Smith,1C,3,14,336,6/4/2024,0,0,0
EV_Smith,1D,4,14,336,6/4/2024,1,0,0
EV_Smith,2A,5,14,336,6/4/2024,1,0,0
EV_Smith,2B,6,14,336,6/4/2024,1,0,0
EV_Smith,2C,7,14,336,6/4/2024,0,0,0
EV_Smith,2D,8,14,336,6/4/2024,1,0,0
EV_Smith,3A,9,14,336,6/4/2024,1,1,0
EV_Smith,3B,10,14,336,6/4/2024,1,1,0
EV_Smith,3C,11,14,336,6/4/2024,1,0,0
EV_Smith,3D,12,14,336,6/4/2024,0,0,0
EV_Smith,1A,1,15,360,6/5/2024,1,0,0
EV_Smith,1B,2,15,360,6/5/2024,0,0,0
EV_Smith,1C,3,15,360,6/5/2024,0,0,0
EV_Smith,1D,4,15,360,6/5/2024,1,1,0
EV_Smith,2A,5,15,360,6/5/2024,1,0,0
EV_Smith,2B,6,15,360,6/5/2024,1,1,0
EV_Smith,2C,7,15,360,6/5/2024,0,0,0
EV_Smith,2D,8,15,360,6/5/2024,1,1,0
EV_Smith,3A,9,15,360,6/5/2024,1,1,0
EV_Smith,3B,10,15,360,6/5/2024,1,1,0
EV_Smith,3C,11,15,360,6/5/2024,1,1,0
EV_Smith,3D,12,15,360,6/5/2024,0,0,0
EV_Smith,1A,1,16,384,6/6/2024,1,1,0
EV_Smith,1B,2,16,384,6/6/2024,0,0,0
EV_Smith,1C,3,16,384,6/6/2024,0,0,0
EV_Smith,1D,4,16,384,6/6/2024,1,1,0
EV_Smith,2A,5,16,384,6/6/2024,1,1,0
EV_Smith,2B,6,16,384,6/6/2024,1,1,0
EV_Smith,2C,7,16,384,6/6/2024,0,0,0
EV_Smith,2D,8,16,384,6/6/2024,1,1,0
EV_Smith,3A,9,16,384,6/6/2024,1,1,0
EV_Smith,3B,10,16,384,6/6/2024,1,1,0
EV_Smith,3C,11,16,384,6/6/2024,1,1,0
EV_Smith,3D,12,16,384,6/6/2024,0,0,0
