Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
Michigan,1A,1,0,0,5/24/2024,0,0,0
Michigan,1B,2,0,0,5/24/2024,0,0,0
Michigan,1C,3,0,0,5/24/2024,0,0,0
Michigan,1D,4,0,0,5/24/2024,0,0,0
Michigan,2A,5,0,0,5/24/2024,0,0,0
Michigan,2B,6,0,0,5/24/2024,0,0,0
Michigan,2C,7,0,0,5/24/2024,0,0,0
Michigan,2D,8,0,0,5/24/2024,0,0,0
Michigan,3A,9,0,0,5/24/2024,0,0,0
Michigan,3B,10,0,0,5/24/2024,0,0,0
Michigan,3C,11,0,0,5/24/2024,0,0,0
Michigan,3D,12,0,0,5/24/2024,0,0,0
Michigan,1A,1,4,96,5/28/2024,0,0,0
Michigan,1B,2,4,96,5/28/2024,0,0,0
Michigan,1C,3,4,96,5/28/2024,0,0,0
Michigan,1D,4,4,96,5/28/2024,0,0,0
Michigan,2A,5,4,96,5/28/2024,0,0,0
Michigan,2B,6,4,96,5/28/2024,0,0,0
Michigan,2C,7,4,96,5/28/2024,0,0,0
Michigan,2D,8,4,96,5/28/2024,0,0,0
Michigan,3A,9,4,96,5/28/2024,0,0,0
Michigan,3B,10,4,96,5/28/2024,1,0,0
Michigan,3C,11,4,96,5/28/2024,0,0,0
Michigan,3D,12,4,96,5/28/2024,0,0,0
Michigan,1A,1,5,120,5/29/2024,1,0,0
Michigan,1B,2,5,120,5/29/2024,0,0,0
Michigan,1C,3,5,120,5/29/2024,0,0,0
Michigan,1D,4,5,120,5/29/2024,0,0,0
Michigan,2A,5,5,120,5/29/2024,1,0,0
Michigan,2B,6,5,120,5/29/2024,1,0,0
Michigan,2C,7,5,120,5/29/2024,0,0,0
Michigan,2D,8,5,120,5/29/2024,0,0,0
Michigan,3A,9,5,120,5/29/2024,0,0,0
Michigan,3B,10,5,120,5/29/2024,1,0,0
Michigan,3C,11,5,120,5/29/2024,0,0,0
Michigan,3D,12,5,120,5/29/2024,1,0,0
Michigan,1A,1,6,144,5/30/2024,1,0,0
Michigan,1B,2,6,144,5/30/2024,0,0,0
Michigan,1C,3,6,144,5/30/2024,0,0,0
Michigan,1D,4,6,144,5/30/2024,0,0,0
Michigan,2A,5,6,144,5/30/2024,1,0,0
Michigan,2B,6,6,144,5/30/2024,1,0,0
Michigan,2C,7,6,144,5/30/2024,0,0,0
Michigan,2D,8,6,144,5/30/2024,0,0,0
Michigan,3A,9,6,144,5/30/2024,1,0,0
Michigan,3B,10,6,144,5/30/2024,1,0,0
Michigan,3C,11,6,144,5/30/2024,0,0,0
Michigan,3D,12,6,144,5/30/2024,1,0,0
Michigan,1A,1,17,408,6/10/2024,1,0,0
Michigan,1B,2,17,408,6/10/2024,0,0,0
Michigan,1C,3,17,408,6/10/2024,0,0,0
Michigan,1D,4,17,408,6/10/2024,0,0,0
Michigan,2A,5,17,408,6/10/2024,1,0,0
Michigan,2B,6,17,408,6/10/2024,1,1,0
Michigan,2C,7,17,408,6/10/2024,1,1,0
Michigan,2D,8,17,408,6/10/2024,0,0,0
Michigan,3A,9,17,408,6/10/2024,1,1,0
Michigan,3B,10,17,408,6/10/2024,1,1,0
Michigan,3C,11,17,408,6/10/2024,0,0,0
Michigan,3D,12,17,408,6/10/2024,1,0,0
Michigan,1A,1,18,432,6/11/2024,1,1,0
Michigan,1B,2,18,432,6/11/2024,0,0,0
Michigan,1C,3,18,432,6/11/2024,0,0,0
Michigan,1D,4,18,432,6/11/2024,0,0,0
Michigan,2A,5,18,432,6/11/2024,1,1,0
Michigan,2B,6,18,432,6/11/2024,1,1,0
Michigan,2C,7,18,432,6/11/2024,1,1,0
Michigan,2D,8,18,432,6/11/2024,0,0,0
Michigan,3A,9,18,432,6/11/2024,1,1,0
Michigan,3B,10,18,432,6/11/2024,1,1,0
Michigan,3C,11,18,432,6/11/2024,0,0,0
Michigan,3D,12,18,432,6/11/2024,1,0,0
Michigan,1A,1,34,816,6/27/2024,1,1,0
Michigan,1B,2,34,816,6/27/2024,0,0,0
Michigan,1C,3,34,816,6/27/2024,0,0,0
Michigan,1D,4,34,816,6/27/2024,0,0,0
Michigan,2A,5,34,816,6/27/2024,1,1,0
Michigan,2B,6,34,816,6/27/2024,1,1,0
Michigan,2C,7,34,816,6/27/2024,1,1,0
Michigan,2D,8,34,816,6/27/2024,0,0,0
Michigan,3A,9,34,816,6/27/2024,1,1,0
Michigan,3B,10,34,816,6/27/2024,1,1,0
Michigan,3C,11,34,816,6/27/2024,0,0,0
Michigan,3D,12,34,816,6/27/2024,1,1,0
Michigan,1A,1,38,912,7/1/2024,1,1,0
Michigan,1B,2,38,912,7/1/2024,0,0,0
Michigan,1C,3,38,912,7/1/2024,0,0,0
Michigan,1D,4,38,912,7/1/2024,0,0,0
Michigan,2A,5,38,912,7/1/2024,1,1,0
Michigan,2B,6,38,912,7/1/2024,1,1,0
Michigan,2C,7,38,912,7/1/2024,1,1,0
Michigan,2D,8,38,912,7/1/2024,0,0,0
Michigan,3A,9,38,912,7/1/2024,1,1,0
Michigan,3B,10,38,912,7/1/2024,1,1,0
Michigan,3C,11,38,912,7/1/2024,0,0,0
Michigan,3D,12,38,912,7/1/2024,1,1,0
