Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
Pennsylvania,1A,1,0,0,5/30/2024,0,0,0
Pennsylvania,1B,2,0,0,5/30/2024,0,0,0
Pennsylvania,1C,3,0,0,5/30/2024,0,0,0
Pennsylvania,1D,4,0,0,5/30/2024,0,0,0
Pennsylvania,2A,5,0,0,5/30/2024,0,0,0
Pennsylvania,2B,6,0,0,5/30/2024,0,0,0
Pennsylvania,2C,7,0,0,5/30/2024,0,0,0
Pennsylvania,2D,8,0,0,5/30/2024,0,0,0
Pennsylvania,3A,9,0,0,5/30/2024,0,0,0
Pennsylvania,3B,10,0,0,5/30/2024,0,0,0
Pennsylvania,3C,11,0,0,5/30/2024,0,0,0
Pennsylvania,3D,12,0,0,5/30/2024,0,0,0
Pennsylvania,1A,1,6,144,6/5/2024,1,0,0
Pennsylvania,1B,2,6,144,6/5/2024,0,0,0
Pennsylvania,1C,3,6,144,6/5/2024,0,0,0
Pennsylvania,1D,4,6,144,6/5/2024,0,0,0
Pennsylvania,2A,5,6,144,6/5/2024,0,0,0
Pennsylvania,2B,6,6,144,6/5/2024,0,0,0
Pennsylvania,2C,7,6,144,6/5/2024,0,0,0
Pennsylvania,2D,8,6,144,6/5/2024,0,0,0
Pennsylvania,3A,9,6,144,6/5/2024,0,0,0
Pennsylvania,3B,10,6,144,6/5/2024,0,0,0
Pennsylvania,3C,11,6,144,6/5/2024,0,0,0
Pennsylvania,3D,12,6,144,6/5/2024,0,0,0
Pennsylvania,1A,1,11,264,6/10/2024,1,0,0
Pennsylvania,1B,2,11,264,6/10/2024,0,0,0
Pennsylvania,1C,3,11,264,6/10/2024,1,0,0
Pennsylvania,1D,4,11,264,6/10/2024,0,0,0
Pennsylvania,2A,5,11,264,6/10/2024,0,0,0
Pennsylvania,2B,6,11,264,6/10/2024,0,0,0
Pennsylvania,2C,7,11,264,6/10/2024,1,0,0
Pennsylvania,2D,8,11,264,6/10/2024,0,0,0
Pennsylvania,3A,9,11,264,6/10/2024,0,0,0
Pennsylvania,3B,10,11,264,6/10/2024,0,0,0
Pennsylvania,3C,11,11,264,6/10/2024,0,0,0
Pennsylvania,3D,12,11,264,6/10/2024,0,0,0
Pennsylvania,1A,1,12,288,6/11/2024,1,0,0
Pennsylvania,1B,2,12,288,6/11/2024,0,0,0
Pennsylvania,1C,3,12,288,6/11/2024,1,0,0
Pennsylvania,1D,4,12,288,6/11/2024,0,0,0
Pennsylvania,2A,5,12,288,6/11/2024,0,0,0
Pennsylvania,2B,6,12,288,6/11/2024,0,0,0
Pennsylvania,2C,7,12,288,6/11/2024,1,0,0
Pennsylvania,2D,8,12,288,6/11/2024,0,0,0
Pennsylvania,3A,9,12,288,6/11/2024,0,0,0
Pennsylvania,3B,10,12,288,6/11/2024,0,0,0
Pennsylvania,3C,11,12,288,6/11/2024,0,0,0
Pennsylvania,3D,12,12,288,6/11/2024,1,0,0
Pennsylvania,1A,1,65,1560,8/3/2024,1,0,1
Pennsylvania,1B,2,65,1560,8/3/2024,0,0,0
Pennsylvania,1C,3,65,1560,8/3/2024,1,0,1
Pennsylvania,1D,4,65,1560,8/3/2024,0,0,0
Pennsylvania,2A,5,65,1560,8/3/2024,0,0,0
Pennsylvania,2B,6,65,1560,8/3/2024,0,0,0
Pennsylvania,2C,7,65,1560,8/3/2024,1,1,0
Pennsylvania,2D,8,65,1560,8/3/2024,0,0,0
Pennsylvania,3A,9,65,1560,8/3/2024,0,0,0
Pennsylvania,3B,10,65,1560,8/3/2024,0,0,0
Pennsylvania,3C,11,65,1560,8/3/2024,0,0,0
Pennsylvania,3D,12,65,1560,8/3/2024,1,0,1
