Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
TV_Rec,1A,1,0,0,5/30/2024,0,0,0
TV_Rec,1B,2,0,0,5/30/2024,0,0,0
TV_Rec,1C,3,0,0,5/30/2024,0,0,0
TV_Rec,1D,4,0,0,5/30/2024,0,0,0
TV_Rec,2A,5,0,0,5/30/2024,0,0,0
TV_Rec,2B,6,0,0,5/30/2024,0,0,0
TV_Rec,2C,7,0,0,5/30/2024,0,0,0
TV_Rec,2D,8,0,0,5/30/2024,0,0,0
TV_Rec,3A,9,0,0,5/30/2024,0,0,0
TV_Rec,3B,10,0,0,5/30/2024,0,0,0
TV_Rec,3C,11,0,0,5/30/2024,0,0,0
TV_Rec,3D,12,0,0,5/30/2024,0,0,0
TV_Rec,1A,1,6,144,6/5/2024,0,0,0
TV_Rec,1B,2,6,144,6/5/2024,1,0,0
TV_Rec,1C,3,6,144,6/5/2024,0,0,0
TV_Rec,1D,4,6,144,6/5/2024,0,0,0
TV_Rec,2A,5,6,144,6/5/2024,1,0,0
TV_Rec,2B,6,6,144,6/5/2024,0,0,0
TV_Rec,2C,7,6,144,6/5/2024,0,0,0
TV_Rec,2D,8,6,144,6/5/2024,1,0,0
TV_Rec,3A,9,6,144,6/5/2024,1,0,0
TV_Rec,3B,10,6,144,6/5/2024,0,0,0
TV_Rec,3C,11,6,144,6/5/2024,0,0,0
TV_Rec,3D,12,6,144,6/5/2024,0,0,0
TV_Rec,1A,1,7,168,6/6/2024,0,0,0
TV_Rec,1B,2,7,168,6/6/2024,1,0,0
TV_Rec,1C,3,7,168,6/6/2024,0,0,0
TV_Rec,1D,4,7,168,6/6/2024,0,0,0
TV_Rec,2A,5,7,168,6/6/2024,1,0,0
TV_Rec,2B,6,7,168,6/6/2024,1,0,0
TV_Rec,2C,7,7,168,6/6/2024,0,0,0
TV_Rec,2D,8,7,168,6/6/2024,1,0,0
TV_Rec,3A,9,7,168,6/6/2024,1,0,0
TV_Rec,3B,10,7,168,6/6/2024,1,0,0
TV_Rec,3C,11,7,168,6/6/2024,0,0,0
TV_Rec,3D,12,7,168,6/6/2024,0,0,0
TV_Rec,1A,1,8,192,6/7/2024,0,0,0
TV_Rec,1B,2,8,192,6/7/2024,1,0,0
TV_Rec,1C,3,8,192,6/7/2024,0,0,0
TV_Rec,1D,4,8,192,6/7/2024,0,0,0
TV_Rec,2A,5,8,192,6/7/2024,1,0,0
TV_Rec,2B,6,8,192,6/7/2024,1,0,0
TV_Rec,2C,7,8,192,6/7/2024,1,0,0
TV_Rec,2D,8,8,192,6/7/2024,1,0,0
TV_Rec,3A,9,8,192,6/7/2024,1,0,0
TV_Rec,3B,10,8,192,6/7/2024,1,0,0
TV_Rec,3C,11,8,192,6/7/2024,0,0,0
TV_Rec,3D,12,8,192,6/7/2024,0,0,0
TV_Rec,1A,1,11,264,6/10/2024,0,0,0
TV_Rec,1B,2,11,264,6/10/2024,1,0,0
TV_Rec,1C,3,11,264,6/10/2024,0,0,0
TV_Rec,1D,4,11,264,6/10/2024,0,0,0
TV_Rec,2A,5,11,264,6/10/2024,1,0,0
TV_Rec,2B,6,11,264,6/10/2024,1,0,0
TV_Rec,2C,7,11,264,6/10/2024,1,0,0
TV_Rec,2D,8,11,264,6/10/2024,1,0,0
TV_Rec,3A,9,11,264,6/10/2024,1,0,0
