Location,Well,Rep,Days_Postplanting,Hours_Postplanting,Date,Emergence,V1,Death_Post_Emergence
Wiregrass,1A,1,0,0,5/21/2024,0,0,0
Wiregrass,1B,2,0,0,5/21/2024,0,0,0
Wiregrass,1C,3,0,0,5/21/2024,0,0,0
Wiregrass,1D,4,0,0,5/21/2024,0,0,0
Wiregrass,2A,5,0,0,5/21/2024,0,0,0
Wiregrass,2B,6,0,0,5/21/2024,0,0,0
Wiregrass,2C,7,0,0,5/21/2024,0,0,0
Wiregrass,2D,8,0,0,5/21/2024,0,0,0
Wiregrass,3A,9,0,0,5/21/2024,0,0,0
Wiregrass,3B,10,0,0,5/21/2024,0,0,0
Wiregrass,3C,11,0,0,5/21/2024,0,0,0
Wiregrass,3D,12,0,0,5/21/2024,0,0,0
Wiregrass,1A,1,3,72,5/24/2024,1,0,0
Wiregrass,1B,2,3,72,5/24/2024,1,0,0
Wiregrass,1C,3,3,72,5/24/2024,1,0,0
Wiregrass,1D,4,3,72,5/24/2024,1,0,0
Wiregrass,2A,5,3,72,5/24/2024,1,0,0
Wiregrass,2B,6,3,72,5/24/2024,1,0,0
Wiregrass,2C,7,3,72,5/24/2024,1,0,0
Wiregrass,2D,8,3,72,5/24/2024,1,0,0
Wiregrass,3A,9,3,72,5/24/2024,1,0,0
Wiregrass,3B,10,3,72,5/24/2024,1,0,0
Wiregrass,3C,11,3,72,5/24/2024,1,0,0
Wiregrass,3D,12,3,72,5/24/2024,0,0,0
Wiregrass,1A,1,4,96,5/25/2024,1,0,0
Wiregrass,1B,2,4,96,5/25/2024,1,0,0
Wiregrass,1C,3,4,96,5/25/2024,1,0,0
Wiregrass,1D,4,4,96,5/25/2024,1,0,0
Wiregrass,2A,5,4,96,5/25/2024,1,0,0
Wiregrass,2B,6,4,96,5/25/2024,1,0,0
Wiregrass,2C,7,4,96,5/25/2024,1,0,0
Wiregrass,2D,8,4,96,5/25/2024,1,0,0
Wiregrass,3A,9,4,96,5/25/2024,1,0,0
Wiregrass,3B,10,4,96,5/25/2024,1,0,0
Wiregrass,3C,11,4,96,5/25/2024,1,0,0
Wiregrass,3D,12,4,96,5/25/2024,1,0,0
Wiregrass,1A,1,20,480,6/10/2024,1,1,0
Wiregrass,1B,2,20,480,6/10/2024,1,1,0
Wiregrass,1C,3,20,480,6/10/2024,1,1,0
Wiregrass,1D,4,20,480,6/10/2024,1,1,0
Wiregrass,2A,5,20,480,6/10/2024,1,1,0
Wiregrass,2B,6,20,480,6/10/2024,1,1,0
Wiregrass,2C,7,20,480,6/10/2024,1,1,0
Wiregrass,2D,8,20,480,6/10/2024,1,0,0
Wiregrass,3A,9,20,480,6/10/2024,1,1,0
Wiregrass,3B,10,20,480,6/10/2024,1,1,0
Wiregrass,3C,11,20,480,6/10/2024,1,1,0
Wiregrass,3D,12,20,480,6/10/2024,1,0,0
Wiregrass,1A,1,21,504,6/11/2024,1,1,0
Wiregrass,1B,2,21,504,6/11/2024,1,1,0
Wiregrass,1C,3,21,504,6/11/2024,1,1,0
Wiregrass,1D,4,21,504,6/11/2024,1,1,0
Wiregrass,2A,5,21,504,6/11/2024,1,1,0
Wiregrass,2B,6,21,504,6/11/2024,1,1,0
Wiregrass,2C,7,21,504,6/11/2024,1,1,0
Wiregrass,2D,8,21,504,6/11/2024,1,1,0
Wiregrass,3A,9,21,504,6/11/2024,1,1,0
Wiregrass,3B,10,21,504,6/11/2024,1,1,0
Wiregrass,3C,11,21,504,6/11/2024,1,1,0
Wiregrass,3D,12,21,504,6/11/2024,1,1,0
Wiregrass,1A,1,29,696,6/19/2024,1,1,0
Wiregrass,1B,2,29,696,6/19/2024,1,1,0
Wiregrass,1C,3,29,696,6/19/2024,1,1,0
Wiregrass,1D,4,29,696,6/19/2024,1,1,0
Wiregrass,2A,5,29,696,6/19/2024,1,1,0
Wiregrass,2B,6,29,696,6/19/2024,1,1,0
Wiregrass,2C,7,29,696,6/19/2024,1,1,0
Wiregrass,2D,8,29,696,6/19/2024,1,1,0
Wiregrass,3A,9,29,696,6/19/2024,1,1,0
Wiregrass,3B,10,29,696,6/19/2024,1,1,0
Wiregrass,3C,11,29,696,6/19/2024,1,1,0
Wiregrass,3D,12,29,696,6/19/2024,1,1,0
